interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Home Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200.0,,,,,,13725.0,,,,,,,,,,,,,,,,,,,,,,,29775.0,,,,,,,,,,
Home Security,,,,,1086765.0,33705.0,25155.0,14685.0,75705.0,,,,23115.0,,,,464025.0,,,,,,,35670.0,71040.0,,525000.0,95955.0,44910.0,293280.0,,229650.0,74880.0,35160.0,124875.0,20865.0,432240.0,37290.0,,11205.0,866145.0,28680.0,93000.0,21435.0,64575.0,10080.0,134790.0,46140.0,,,,,,11250.0,104940.0,,,22980.0,21210.0,,,,18270.0,211620.0,359835.0,,370575.0,65295.0,27285.0,33255.0,,,,103110.0,78660.0,127170.0,12225.0,12735.0,,179865.0,,,,161580.0,,,229350.0,21945.0,,398130.0,25125.0,,,107955.0,104250.0,,13650.0,32475.0,133245.0,,,27180.0,353985.0,98115.0,1328100.0,32115.0,,,,,,30675.0,21570.0
Home Utilities,,,,,30465.0,,14355.0,,,,,,,,,,,,,,,,,,,,18795.0,,,15150.0,,,,,,,238815.0,,,,,,,,11505.0,17610.0,,29385.0,,,,,,,22800.0,,,,,,,,,,,,,,22575.0,,,,,26100.0,,132945.0,,,,94125.0,,,,64290.0,,,278730.0,,,,,,,,,,,,21885.0,,,,236790.0,18510.0,36930.0,,,,,,,,
Homeschooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homework and Study,,,,,99240.0,,,,,,,,,,,,17625.0,,,,,,,,,,,,,15810.0,,,,,,,16965.0,12090.0,,,,,12345.0,,12840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12975.0,,,,,,,31605.0,,,,,,12975.0,,,,,,,,,13980.0,,,,49245.0,,62835.0,,,,,,,,
Honeymoons and Getaways,,120885.0,,,19335.0,,53820.0,,,,,,,,,,13680.0,,,,,,,,,,365640.0,13200.0,,31380.0,,34155.0,27105.0,,,,5341755.0,711405.0,60450.0,81315.0,,456990.0,,,479235.0,162075.0,90585.0,148380.0,109290.0,,,22890.0,,,718950.0,,,,,,204600.0,,13695.0,11100.0,139560.0,,55815.0,,144375.0,,22875.0,,,47745.0,,140550.0,,,,1168095.0,12420.0,,,719955.0,,,428235.0,243645.0,,,,20415.0,,11760.0,,36195.0,822420.0,29475.0,1203990.0,,77880.0,26655.0,853710.0,23670.0,61980.0,13845.0,,,,,12975.0,10320.0,15795.0
Hormonal Disorders,,23745.0,,10845.0,11655.0,,,,,,,,,,,,,11070.0,,13800.0,,,,,,,31695.0,,,118830.0,,,,,,,49065.0,120945.0,,,,,,,,17085.0,,,,,,,,,903795.0,,,,29385.0,,17670.0,,,,,,,,,,,,22335.0,12690.0,16275.0,,,,,36750.0,,,,18225.0,,,,,,44580.0,,,,,,,,,16590.0,,,,56460.0,,20085.0,,,,,,,,
Horror Movies,,68640.0,,153945.0,577680.0,32610.0,143595.0,145320.0,76395.0,31950.0,15240.0,,398310.0,14460.0,10935.0,,452490.0,90840.0,,133095.0,,,,20910.0,35265.0,78375.0,92040.0,,20505.0,433800.0,,262875.0,12795.0,40320.0,37230.0,20700.0,10337610.0,811140.0,,24705.0,96225.0,42735.0,243510.0,11745.0,649350.0,23865.0,26175.0,253125.0,80805.0,,,,,,1578945.0,,,19065.0,349800.0,,60570.0,,,127815.0,83100.0,,47670.0,32430.0,155130.0,790860.0,,13950.0,139095.0,582480.0,41820.0,311610.0,50175.0,,,569475.0,,,,206685.0,,,301320.0,91755.0,,231870.0,64980.0,,,72345.0,53100.0,,32670.0,10170.0,573315.0,,23610.0,189090.0,1950000.0,721575.0,2289615.0,,19500.0,21930.0,53370.0,177765.0,,,
Horse Racing,,,,,194280.0,,,,11895.0,,,,,,,,53415.0,,,,,,,,11190.0,,,,,66900.0,,25665.0,,18780.0,13215.0,,29730.0,11100.0,,,66360.0,,13065.0,,22515.0,,15135.0,,,,,,,,21060.0,,,,,,16905.0,,,50415.0,44205.0,,17370.0,,,,,,,,11640.0,,59865.0,,,17505.0,,,,25590.0,,,35730.0,,,59325.0,,,,13035.0,12255.0,,,,30405.0,,,,35925.0,16065.0,146085.0,,,,,,,,
Hospitality Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10110.0,,,,,,,,,,,,,,,,,,37440.0,,,,,,,,,,,,,,,,,,,,,,,,,17040.0,,,,,,,,,,,,,,,,,,,,,,,35730.0,,,,,,,,,,
Hotel Properties,,,,,34200.0,,,,,,,,,,,,,,,,,,,,,,14580.0,,,49245.0,,,,,,,182145.0,113940.0,,,,23805.0,,,439575.0,,27540.0,,,,,,,,86820.0,,,,,,,,,,58935.0,,17670.0,,,,,,,19425.0,,99510.0,,,,34290.0,,,,47415.0,,,77925.0,65595.0,,,,,,,,,59865.0,,113865.0,,,,150285.0,18045.0,43560.0,,,,,,,,
Hotels and Motels,,63150.0,,,10350.0,,20745.0,,,,,,,,,,,,,,,,,,,,153450.0,,,21375.0,,,17880.0,,,,3192435.0,612015.0,26310.0,29310.0,,362970.0,,,565575.0,39885.0,62310.0,36255.0,101760.0,,,,,,405495.0,,,,,,124215.0,,,,82875.0,,38205.0,,42480.0,,,,,20130.0,,62220.0,,,,201735.0,,,,386310.0,,,310095.0,148140.0,,,,,,,,,666000.0,16005.0,887520.0,,53700.0,,622740.0,,35685.0,,,,,,,,10710.0
Household Supplies,,,,,71865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,11460.0,,,,,,,,,,,,,,,,,15930.0,,,,,,,,,,,,,,,,,,,35280.0,,16350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,35355.0,,,,,,,,,,
Houses,,,,,29910.0,,10200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162255.0,,,,,,,,28560.0,,,14565.0,,,,,,,,,,,,,,,,,20715.0,,,,11760.0,,,,,,,21720.0,,,,23910.0,,,,,,,21585.0,,,,,,,,,,,,,,,,84480.0,,14445.0,,,,,,,,
Housing Market,,,,,24240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201225.0,14025.0,,,,,,,,,,11055.0,,,,,,,130035.0,,,,,,,,,,36630.0,,,,10020.0,,,,,22800.0,,30180.0,,,,42195.0,,,,114600.0,,,33960.0,,,,,,,,,,,,11775.0,,,,156600.0,,18630.0,,,,,,,,
Humor and Satire,,11055.0,,,22785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43725.0,,,,,,,,,,,,13005.0,,,,,,,,,,,,,,,,,,,,,,,,,12180.0,,,,,,17175.0,,,,,,,104550.0,,,,,,,,,,,,,,,,16530.0,,29055.0,,,,,,,,
Hunting and Shooting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12360.0,,,,,,,,,,51165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT and Internet Support,,26370.0,,11400.0,146310.0,,36645.0,,13845.0,,,,95790.0,,,,36735.0,,13725.0,10155.0,,,,,,,59595.0,,,147930.0,,61065.0,10245.0,,11175.0,,550185.0,116145.0,11895.0,10725.0,15765.0,11235.0,78975.0,,126975.0,40545.0,38565.0,73500.0,23925.0,,,,,,422115.0,,,,17220.0,,18810.0,,,27720.0,21480.0,,38745.0,,53940.0,60435.0,,,,114180.0,20205.0,365775.0,,,,255225.0,,,,962865.0,,,296730.0,23250.0,,38190.0,,,,13215.0,10890.0,,,,2486475.0,,,18180.0,1186605.0,96330.0,247845.0,,17685.0,,,16770.0,,,
Ice Hockey,,,,,84330.0,,,,,,,,,,,,21840.0,,,,,,,,,,,,,14805.0,,10335.0,,,,,125460.0,21255.0,,,27195.0,,,,,,17295.0,,,,,,,,,,,,,,13125.0,,,,21045.0,,14370.0,,,,,,,12240.0,,,,,,,,,,,,,14040.0,,,20715.0,,,,,,,,,,,,,17145.0,,61560.0,,,,,,,,
Indie and Arthouse Movies,,121545.0,,348060.0,631680.0,42120.0,88065.0,304710.0,96525.0,79110.0,25425.0,,667080.0,,21045.0,,472035.0,211755.0,,383325.0,,15510.0,,32700.0,60495.0,181605.0,187515.0,10125.0,28125.0,804375.0,,360180.0,15765.0,53670.0,49440.0,30060.0,12130605.0,1037640.0,,77820.0,92775.0,48480.0,435525.0,13395.0,1049505.0,39915.0,35205.0,181530.0,63105.0,,,10185.0,,,944670.0,,,22815.0,768510.0,,96825.0,,,156345.0,80640.0,,56865.0,42660.0,77250.0,1277085.0,10725.0,29490.0,349950.0,754380.0,66420.0,201675.0,62280.0,10785.0,,444435.0,18960.0,,,232215.0,10920.0,,96075.0,390420.0,,981405.0,89010.0,10065.0,,81630.0,71625.0,,53565.0,16320.0,770295.0,,42075.0,470355.0,1372080.0,808890.0,2657445.0,,43725.0,41025.0,127170.0,724890.0,21315.0,,
Indoor Environmental Quality,,,,,16725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11625.0,,,,,,,,,,
Industrial Property,,,,,63285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42915.0,75810.0,,,,,,,23430.0,,38295.0,,,,,,,,16080.0,,,,,,,,,,19575.0,,22380.0,,,,,,,,,66885.0,,,,19185.0,,,,23685.0,,,39405.0,,,,,,,,,,,,36525.0,,,,115395.0,24285.0,16005.0,,,,,,,,
Industries,,,,,14340.0,,,,,,,,,,,,,,,,,,,,,,13425.0,,,12210.0,,,,,,,100005.0,22830.0,,,,,,,18180.0,,,10395.0,,,,,,,115995.0,,,,,,,,,,,,,,17055.0,11685.0,,,,,,21135.0,,,,112575.0,,,,19125.0,,,44085.0,,,,,,,,,,,,11625.0,,,,314700.0,18135.0,34200.0,,,,,,,,
Infectious Diseases,,,,11550.0,,,,,,,,,,,,,,11640.0,,15030.0,,,,,,,,,,33495.0,,,,,,,58095.0,93780.0,,,,,,,,,,,,,,,,,,,,,33555.0,,,,,,,,,,36315.0,,,,22950.0,17625.0,16425.0,,,,,,,,,16605.0,,,216285.0,,,45630.0,,,,,,,,,,,,,29895.0,,21285.0,,,,,,,,
Infertility,,11250.0,,,21120.0,,28410.0,,11745.0,,,,,,,,26745.0,,,,,,,,,,12540.0,,,161625.0,,,,,,,641910.0,,,,,,,,,,,43440.0,,,,,,,199980.0,,,,,,,,,,,,,,29550.0,35805.0,,,,,,51675.0,,,,98460.0,,,,18360.0,,,20100.0,,,,,,,,,,,,,,,,217170.0,15375.0,85770.0,,,,,,,,
Information Services Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14025.0,,,,,,,,,,,,,,,,,,50940.0,,,,,,,,,,,,,,,,,,,,,,,,,16485.0,,,,,,,15240.0,,,,,,,,,,,,,,,,33570.0,,,,,,,,,,
Information and Network Security,,,,,13335.0,,20805.0,,,,,,,,,,,,,,,,,,,,19620.0,,,,,,,,,,136575.0,20940.0,,,,,,,,11265.0,,35040.0,,,,,,,14670.0,,,,,,,,,,,,,,30135.0,114690.0,,,,15795.0,,58065.0,,,,212700.0,,,,,,,,,,,,,,,,,,,,,,,177285.0,12555.0,23745.0,,,,,10905.0,,,
Injuries,,212085.0,,,16065.0,,18765.0,,,,,,,,,,17175.0,,,,,,,,,,116190.0,,,35115.0,,42825.0,,,,,116670.0,,,122025.0,,16170.0,18630.0,,16290.0,148110.0,,43065.0,22575.0,,,66045.0,,,22890.0,,,,,,605520.0,,,,,,,,35055.0,12435.0,61920.0,,,,,18990.0,,,,231855.0,,,,,,,17895.0,,,10890.0,,26895.0,,12870.0,,28095.0,,,26565.0,,28980.0,22890.0,81480.0,21900.0,54615.0,,,,,,20145.0,,
Inspirational/New Age Music,,,,,65385.0,,,,,,,,,,,,35190.0,,,,,,,,,,,,,47535.0,,22650.0,,,,,160680.0,12075.0,,,22440.0,,17745.0,,26295.0,,,,,,,,,,,,,,15945.0,,,,,16350.0,41700.0,,,,,,,,,,,,,,,,,,,26190.0,,,20835.0,22020.0,,32010.0,,,,,,,,,10950.0,,,,82215.0,,132015.0,,,,,,,,
Insurance,,,,,10410.0,,,,,,,,,,,,20880.0,,,,,,,,,,54060.0,,,14670.0,,12045.0,,,,,147465.0,,,,,,13575.0,,,10470.0,,180870.0,153180.0,,,,,,44550.0,,,,,,,,,,,,,,10290.0,,,,,11955.0,,15225.0,,,,56955.0,,,,12495.0,,,,,,,,,,,,,,,,,,,56115.0,26325.0,36210.0,,,,,,,,
Interest Rates,,,,,45255.0,,,,,,,,,,,,12570.0,,,,,,,,,,,,,,,,,,,,347490.0,15585.0,,,,,,,,,25260.0,,96825.0,,,,,,649980.0,,,,,,,,,,37065.0,,28995.0,,12345.0,,,,,27735.0,,12630.0,,,,22575.0,,,,178800.0,,,53385.0,,,,,,,,,,,,16305.0,,,,836265.0,32490.0,35010.0,,,,,,,,
Interior Decorating,,,,,11265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107400.0,,,,,,,,,,,15780.0,,,,,,,,,,,,,,,,,13545.0,,,,11385.0,,,,,,,35760.0,,,,25035.0,,,,,,,,,,,,,,,,,,,,,,,107040.0,,16530.0,,,,,,,,
International News,256800.0,230670.0,31950.0,639585.0,2685555.0,231735.0,381915.0,966300.0,416430.0,172215.0,49800.0,17715.0,3699525.0,29820.0,100020.0,65475.0,3856410.0,524940.0,78435.0,777060.0,69000.0,49170.0,16800.0,162780.0,323955.0,339570.0,774825.0,287880.0,275040.0,1417050.0,17610.0,1928970.0,233820.0,197850.0,458250.0,145515.0,11389365.0,1410450.0,161010.0,397710.0,1288245.0,348015.0,657945.0,84915.0,618375.0,322050.0,607440.0,1367445.0,2465535.0,12480.0,26370.0,53310.0,10425.0,31920.0,1765905.0,16320.0,12585.0,83985.0,1987845.0,52575.0,212370.0,37665.0,31050.0,939180.0,680415.0,18285.0,2237340.0,414960.0,804525.0,3671685.0,72735.0,104085.0,574725.0,2133045.0,298815.0,956415.0,167205.0,972450.0,28185.0,3201180.0,29760.0,,35265.0,964980.0,56490.0,135795.0,2400975.0,306090.0,36720.0,1990140.0,261120.0,129570.0,,730695.0,416310.0,164370.0,315255.0,228390.0,993465.0,11415.0,107985.0,1330125.0,8401935.0,1084545.0,15009825.0,129390.0,1638300.0,110145.0,270840.0,724875.0,52980.0,67800.0,74025.0
Internet,,356085.0,,179385.0,849720.0,42795.0,141510.0,236835.0,91650.0,40200.0,20340.0,,829725.0,26445.0,32925.0,10260.0,367500.0,108465.0,36480.0,171525.0,,16860.0,,51810.0,55965.0,85350.0,1090515.0,16485.0,36240.0,664620.0,,498885.0,47130.0,63690.0,140835.0,34815.0,3868395.0,1627575.0,26040.0,234240.0,115095.0,123240.0,479640.0,,3991380.0,167580.0,242565.0,337920.0,480795.0,,,36705.0,,,4899915.0,,,15270.0,339270.0,,250770.0,,,184410.0,145890.0,,187335.0,58875.0,150570.0,680655.0,75225.0,14085.0,163005.0,4061145.0,106320.0,612555.0,62070.0,81420.0,,1363410.0,19650.0,,,1443495.0,12405.0,,1743585.0,1182270.0,,432480.0,33585.0,29955.0,,104175.0,67605.0,45240.0,223695.0,26805.0,4422210.0,,112290.0,325725.0,2358420.0,690300.0,2192340.0,23310.0,728835.0,30345.0,62910.0,342120.0,68970.0,12795.0,12120.0
Internet Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33555.0,,,,,,,,,,,,,,,,,,72570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11310.0,,,33210.0,,,,,,,,,,,,,,,,87570.0,,10650.0,,,,,,,,
Internet Service Providers,,,,,13785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32265.0,,,,,,,,,,,10485.0,,,,,,,14550.0,,,,,,,,,,,,,,,,,,,21825.0,,22890.0,,,,36045.0,,,,47655.0,,,259290.0,,,,,,,,,,,,,,,,70815.0,,16320.0,,,,,,,,
Internet for Beginners,,24660.0,,11505.0,301230.0,,26145.0,,10890.0,,,,41115.0,,,,47640.0,,,,,,,,,,94890.0,,,153180.0,,30180.0,23805.0,,13095.0,,386610.0,56565.0,11355.0,15285.0,15930.0,10890.0,57120.0,,39585.0,16620.0,49515.0,49665.0,22575.0,,,,,,713940.0,,,,11445.0,,24195.0,,,18765.0,24180.0,,65850.0,,37770.0,73290.0,,,,328215.0,22665.0,217140.0,,,,211800.0,,,,319590.0,,,581220.0,73590.0,,27150.0,,,,11535.0,,,,,83970.0,,13035.0,22800.0,1006530.0,96960.0,316050.0,,,,,12705.0,,,
Internet of Things,,15045.0,,,146190.0,,22365.0,,,,,,51750.0,,,,35085.0,,,,,,,,,,41505.0,,,108735.0,,24195.0,21975.0,,,,459600.0,61740.0,,,14565.0,,18240.0,,31680.0,,105090.0,36705.0,27915.0,,,,,,577875.0,,,,10185.0,,10560.0,,,15015.0,15540.0,,79830.0,,29070.0,53970.0,,,,126615.0,10800.0,164985.0,,,,112860.0,,,,163035.0,,,558750.0,13680.0,,22665.0,,,,,,,,,100080.0,,,15480.0,698220.0,76335.0,258675.0,,,,,,,,
Islam,,545940.0,,,136050.0,19350.0,100020.0,,27555.0,,,,,30165.0,,,126600.0,,15840.0,24840.0,,,,,16410.0,,1426080.0,,,130260.0,,249555.0,,,12465.0,,1679760.0,825420.0,20925.0,478335.0,18600.0,58260.0,42840.0,,24810.0,256500.0,,194655.0,209445.0,,,186585.0,,,6055620.0,,34830.0,,,,394500.0,,,58290.0,20115.0,,623520.0,21375.0,147750.0,64605.0,91605.0,,,172335.0,,233940.0,,33855.0,,1644060.0,,,,189405.0,,11505.0,43980.0,,,25755.0,,67035.0,,88305.0,18165.0,464235.0,,,38655.0,,364605.0,219420.0,1061325.0,159615.0,342030.0,,13035.0,,,,116715.0,,
Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19920.0,,,,,,,,,,,,,,10305.0,13245.0,,,,,,10095.0,,,,,,,,,,16920.0,,,,,,,,,,,,,12000.0,,14100.0,,,,,,,,
Jewelry Making,,,,,28980.0,,,,,,,,,,,,,,,,,,,,,,,,,39930.0,,,,,,,86475.0,,,,,,,,13170.0,,,,,,,,,,130560.0,,,,,,,,,,,,,,,,,,,123300.0,,,,,,12885.0,,,,18990.0,,,,,,,,,,,,,,,59025.0,,,,24045.0,,29355.0,,,,,,,,
Job Fairs,,102240.0,,,73365.0,,23010.0,,,,,,,,,,34650.0,,,,,,,,,,6335970.0,,,34575.0,,60495.0,,,,,169260.0,21120.0,,131415.0,,15660.0,35865.0,,,89595.0,15195.0,155790.0,24450.0,,,12480.0,,,76875.0,,,,,,57105.0,,,19965.0,,,28170.0,,42645.0,19080.0,26325.0,,,83610.0,,258750.0,,,,593355.0,,,,122220.0,,,98610.0,10125.0,,,,46500.0,,11715.0,,18975.0,,,14085.0,,22140.0,29550.0,685395.0,66390.0,135060.0,,,,,,,,
Job Market,,,,,24945.0,,21120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178005.0,10995.0,,,,,,,,,,35100.0,11925.0,,,,,,36915.0,,,,,,,,,,18780.0,,,,32175.0,16215.0,,,,29955.0,,67245.0,,,,199455.0,,,,27990.0,,,,,,,,,,,,,,,12075.0,,,,1276725.0,18150.0,34215.0,,,,,,,,
Job Search,,124695.0,,,249615.0,,57165.0,,13860.0,,,,,,,,62355.0,,,,,,,,,,6367140.0,,,79260.0,,81495.0,14985.0,,12195.0,,366600.0,90450.0,,138780.0,18120.0,22560.0,46455.0,,27255.0,105135.0,34215.0,216960.0,49095.0,,,19020.0,,,171645.0,,,,,,81420.0,,,30525.0,46350.0,,51135.0,11130.0,97035.0,34140.0,29235.0,,,224250.0,,356835.0,,,,888255.0,,,,185400.0,,,211890.0,22080.0,,16605.0,,48705.0,,19650.0,,22200.0,11370.0,,114450.0,,28800.0,36375.0,1165800.0,121680.0,285405.0,,12765.0,,,,,,
Judaism,,46875.0,,,20760.0,,13875.0,,,,,,,,,,18300.0,,,24600.0,,,,,,,94170.0,,,42870.0,,30390.0,,,,,243945.0,30525.0,,40815.0,,10920.0,,,13245.0,20205.0,,23970.0,26145.0,,,18555.0,,,415335.0,,,,,,17670.0,,,,,,,,21465.0,,,,,14145.0,,37380.0,,,,172485.0,,,,23910.0,,,10350.0,,,,,,,,,57900.0,,,11595.0,,12825.0,39795.0,257310.0,21660.0,58230.0,,,,,,,,
Lacrosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Farms,,,,,31500.0,,,,,,,,,,,,,,,,,,,,,,,,,24045.0,,,,,,,19050.0,23610.0,,,,,,,66345.0,,11070.0,,,,,,,,30930.0,,,,,,,,,,53430.0,,,,,,,,,,,13950.0,,,,,,,,16875.0,,,43035.0,12855.0,,,,,,,,,,,29190.0,,,,15480.0,,23220.0,,,,,,,,
Landscaping,,,,,194445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16890.0,,,,,,,,10020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33045.0,,,,,,,,,,
Language Learning,,,,,22320.0,,,,,,,,14010.0,,,,13125.0,,,,,,,,,,,,,32670.0,,14625.0,,,13365.0,,172320.0,17910.0,,,,,31710.0,,32460.0,,,,,,,,,,11385.0,,,,,,,,,,,,,,,,,,,113490.0,,18180.0,,14640.0,,25215.0,,,,,,,,13890.0,,31545.0,,,,,,,20100.0,,29325.0,,,15870.0,75570.0,,42960.0,,,,,12165.0,,,
Laptops,,,,,,,,,,,,,,,,,,,,,,,,,,,11160.0,,,,,,,,,,79065.0,,,,,,,,,,,10650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25140.0,,,,35130.0,,,,,,,,,,,,,,,,,,,,,,,53940.0,,,,,,,,,,
Large Animals,,,,,24135.0,,,,,,,,,,,,12675.0,,,,,,,,,,,,,14715.0,,,,,,,82950.0,,,,,,,,11160.0,,,,,,,,,,,,,,,,,,,,10035.0,,,,,,,,,10680.0,,,,,,23055.0,,,,36900.0,,,29145.0,,,,,,,,,,,,10365.0,,,,136905.0,,108795.0,,,,,,,,
Large Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19395.0,,,,,,,,,,
Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95655.0,,,,,,,,,,,10095.0,,,,,,,22905.0,,,,,,,,,,,,,,,,,,,259440.0,,15540.0,,,,63705.0,,,,10995.0,,,152895.0,,,,,,,,,,,,,,,,174390.0,10950.0,31185.0,,,,,,,,
Legal Services Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16800.0,,,,,,,,,,
Life Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16560.0,,,,,,,,,,,,,,,,,,,,,,,31320.0,,,,,,,,,,
Local News,248100.0,199680.0,31215.0,640350.0,2666625.0,225375.0,331200.0,954915.0,401940.0,174060.0,48390.0,17565.0,3687240.0,28620.0,94800.0,64035.0,3769845.0,525540.0,76380.0,785295.0,65280.0,47490.0,16635.0,158625.0,315990.0,341220.0,629760.0,268590.0,265290.0,1365165.0,16335.0,1879095.0,220245.0,192060.0,445575.0,138630.0,9440955.0,1391370.0,157560.0,380115.0,1244865.0,337380.0,638205.0,80865.0,597150.0,268680.0,553950.0,1264440.0,2437110.0,11760.0,24975.0,55950.0,10125.0,28635.0,1787340.0,15495.0,11445.0,78570.0,1989585.0,51990.0,156795.0,36420.0,28260.0,913890.0,658575.0,19185.0,2330970.0,405030.0,690780.0,3009285.0,62850.0,106485.0,586020.0,2041440.0,306810.0,824880.0,164190.0,966960.0,26865.0,2727210.0,28695.0,,32985.0,1014285.0,54990.0,134895.0,2721615.0,300780.0,34215.0,1959060.0,249315.0,120630.0,,715080.0,403725.0,152880.0,307365.0,236940.0,961470.0,11010.0,98040.0,1315365.0,7061280.0,1030905.0,14826945.0,114735.0,1633440.0,110490.0,268545.0,721680.0,48480.0,59280.0,69240.0
Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10335.0,,,,,,13590.0,,,,,,,,,,,,,,,,,,,12630.0,,,,18645.0,,,,,,,,,,
Logistics and Transportation Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12240.0,,,,,,,,,,,,,,,,,,,,,,,26490.0,,,,,,,,,,
Lotteries and Scratchcards,,,,,99570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192135.0,30585.0,,,,,,,,,,11295.0,,,,,,,29085.0,,,,,,,,,,,,,,,,,,,42780.0,,16770.0,,,,20415.0,,,,,,,853185.0,,,,,,,,,,,,,,,,111675.0,10830.0,23715.0,,,,,,,,
Lung and Respiratory Health,,,,,10005.0,,,,,,,,,,,,,,,,,,,,,,,,,24330.0,,,,,,,254715.0,104340.0,,,,,,,,21180.0,,15420.0,,,,,,,29295.0,,,,,,,,,,,,,,11190.0,,,,,,,22935.0,,,,28635.0,,,,17265.0,,,221655.0,,,,,,,,,,,,,,,,71355.0,,24645.0,,,,,,,,
Luxury Cars,,11280.0,,,15870.0,,11310.0,,,,,,,,,,12975.0,,,,,,,,,,11805.0,,,20655.0,,11070.0,,,,,189180.0,,,,,,,,12165.0,,,19125.0,,,,,,,69195.0,,,,,,,,,,,,,,19680.0,,,,,30180.0,,223740.0,,,,71745.0,,,,58050.0,,,89505.0,,,,,,,,,,,,14490.0,,,,512925.0,29505.0,67860.0,,,,,,,,
