interest,Afghanistan,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Cambodia,Cameroon,Canada,Chile,China,Colombia,Congo Dem Rep,CoteDIvore,Cuba,Czech,Denmark,Ecuador,Egypt,Ethiopia,Finland,France,Gambia,Germany,Ghana,Greece,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Niger,Nigeria,Norway,Oman,Pakistan,Palestine,Paraguay,Peru,Philippines,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovakia,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tanzania,Thailand,Togo,Tunisia,Turkey,UAE,UK,USA,Uganda,Ukraine,Uruguay,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Amusement and Theme Parks,,96255.0,,,38955.0,,19500.0,,,,,,,,,,15135.0,,,,,,,,,,706305.0,,,25350.0,,27915.0,,,,,223500.0,29460.0,,63855.0,,28455.0,,,44190.0,154965.0,,105270.0,67800.0,,,26550.0,,,28635.0,,,,,,73470.0,,,,10155.0,,,,69060.0,,102750.0,,,27060.0,,36975.0,,,,627960.0,,,,52830.0,,,27975.0,,,,,39810.0,,10575.0,,36225.0,16515.0,,65940.0,,32865.0,27690.0,281865.0,17925.0,57375.0,,,,,,15570.0,,
Angel Investment,,,,,22305.0,,,,,,,,,,,,,,,,,,,,,,10830.0,,,32550.0,,,,,,,48165.0,65970.0,,,,,13170.0,,13695.0,,34845.0,,10245.0,,,,,,46545.0,,,,,,,,,,,,28380.0,,,,,,,29085.0,,14385.0,,,,53175.0,,,,49530.0,,,59715.0,,,,,,,,,,,,20790.0,,,,63495.0,30270.0,34950.0,,,,,,,,
Animation Movies,,95430.0,,201645.0,359505.0,35970.0,148410.0,297210.0,70860.0,46350.0,24420.0,,467430.0,,16875.0,,393660.0,124035.0,,208665.0,,11790.0,,25620.0,42030.0,109665.0,141345.0,,22740.0,657630.0,,303585.0,11850.0,46185.0,39210.0,22095.0,13504695.0,1555410.0,,57360.0,84810.0,38130.0,370305.0,,868440.0,22815.0,21330.0,261630.0,35940.0,,,,,,771150.0,,,21480.0,438960.0,,68670.0,,,119520.0,69405.0,,41790.0,34275.0,159540.0,1210620.0,,14910.0,201735.0,382815.0,45090.0,345960.0,51660.0,,,557040.0,15930.0,,,189030.0,,,69510.0,350370.0,,560160.0,83115.0,,,63870.0,55815.0,,34530.0,13350.0,519900.0,,31305.0,419010.0,1537170.0,687225.0,2127480.0,,32205.0,27420.0,70620.0,411390.0,18150.0,,
Animation TV,,97260.0,,84195.0,219315.0,19815.0,72765.0,116565.0,54375.0,19680.0,,,225735.0,,,,279690.0,63690.0,,109080.0,,,,45180.0,20655.0,52080.0,232215.0,,14175.0,244095.0,,178305.0,,23235.0,32220.0,12330.0,4420035.0,207315.0,,70410.0,95295.0,30900.0,149355.0,,383715.0,45060.0,13920.0,139845.0,45045.0,,,10035.0,,,219765.0,,,10125.0,181530.0,,71040.0,,,80745.0,50175.0,,79320.0,26190.0,74025.0,732075.0,17715.0,,74910.0,1026075.0,26850.0,156195.0,43950.0,10470.0,,917430.0,,,,98010.0,,,76260.0,75765.0,,183555.0,29430.0,,,46410.0,32865.0,39735.0,48225.0,,239550.0,,40755.0,239250.0,645180.0,319215.0,1697235.0,,32655.0,10710.0,44025.0,146220.0,,,
Anniversary,,12210.0,,,166230.0,,31245.0,,33615.0,,,,12060.0,,,,173685.0,,,,,,,,,,,,,286080.0,,58950.0,,,21405.0,,507300.0,95790.0,,,36165.0,,27885.0,,36255.0,,65640.0,47190.0,,,,,,,194235.0,,,,11835.0,,10530.0,,,36240.0,70485.0,,41340.0,14520.0,568815.0,358200.0,,,,435285.0,12945.0,71880.0,,,,182700.0,,,,95220.0,,,263655.0,,,36345.0,,,,17715.0,19860.0,,10650.0,,45450.0,,,11190.0,1070400.0,84000.0,509655.0,,,,,,,,
Antiquing and Antiques,,20265.0,,,152895.0,,,,29025.0,,,,,,,,93390.0,,,,,,,,,,16560.0,,,287610.0,,26475.0,,,,,90540.0,32175.0,,,34935.0,15045.0,16485.0,,52665.0,,,10365.0,29250.0,,,,,,91710.0,,,,,,35670.0,,,28830.0,42750.0,,,,,13305.0,,,,33900.0,,27300.0,,,,34935.0,,,,39240.0,,,50130.0,14610.0,,28410.0,,,,,15705.0,,,,55980.0,,13710.0,,59325.0,24270.0,274050.0,,,,,,,,
Antivirus Software,,27825.0,,15720.0,36180.0,,61140.0,,,,,,116310.0,,,,17865.0,,,12405.0,,,,,,,41970.0,,,55125.0,,18420.0,,,,,545955.0,116760.0,,,,,15600.0,,90885.0,,,108360.0,,,,,,,251925.0,,,,32835.0,,29595.0,,,24615.0,,,,,85440.0,31830.0,,,11745.0,26985.0,17835.0,149880.0,,,,429750.0,,,,18165.0,,,,20175.0,,26880.0,,,,,,,,,34470.0,,,,470745.0,30540.0,78930.0,,,,,13500.0,,,
Apartments,,,,,30315.0,,11100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202230.0,50415.0,,,,14070.0,,,368445.0,,,16755.0,,,,,,,55710.0,,,,,,,,,,35265.0,,,,13170.0,,,,,,,80895.0,,,,36540.0,,,,29295.0,,,954825.0,45270.0,,,,,,,,,49380.0,,62625.0,,,,142125.0,15885.0,22260.0,,,,,,,,
Apprenticeships,,,,,18585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11115.0,,59550.0,,,,99510.0,,,,,,,,,,,,,,,,,,,,,,,118815.0,,,,,,,,,,
Art and Photography Books,,14700.0,,,171420.0,,,,,,,,,,,,22275.0,,,,,,,,,,21960.0,,,119490.0,,17625.0,,,,,69240.0,10935.0,,11985.0,,,,,18000.0,15060.0,,11865.0,161580.0,,,,,,,,,,,,13350.0,,,,,,,,,,,,,,,17910.0,,,,37740.0,,,,,,,45660.0,,,,,,,,,,,,13680.0,,,,61980.0,15825.0,57105.0,,,,,,,,
