3456975,South Africa,Interest > Travel Type > Bed & Breakfasts,582697,96674
2651952,South Africa,Interest > Real Estate > Real Estate Buying and Selling,580430,247432
1756253,South Africa,Interest > Personal Celebrations & Life Events > Bachelorette Party,578869,230332
447274,South Africa,Interest > Politics > War and Conflicts,569695,249795
3598262,South Africa,Interest > Education,569519,274214
4289497,South Africa,Interest > Events and Attractions > Theater Venues and Events,550915,137427
2076860,South Africa,Interest > Home Utilities > Water Services,549543,252949
3419422,South Africa,Interest > Job Search,546189,179097
1337718,South Africa,Interest > Games and Puzzles,545981,174142
2353336,South Africa,Interest > Economy > Financial Crisis,544609,263120
3157370,South Africa,Interest > Job Search > Resume Writing and Advice,536238,177379
2541212,South Africa,Interest > Events and Attractions > Parks & Nature,535222,195609
1574587,South Africa,Interest > Politics > Elections,531881,238306
2123893,South Africa,Interest > Business > Executive Leadership & Management,527039,254192
167090,South Africa,Interest > Movies,526041,137100
1659085,South Africa,Interest > Internet > Web Development,525131,227794
209253,South Africa,Interest > Economy > Financial Reform,524362,256114
428312,South Africa,Interest > Hobbies & Interests,519468,141691
650014,South Africa,Interest > Games and Puzzles > Board Games and Puzzles,513776,167621
2486752,South Africa,Interest > Rock Music > Hard Rock,513394,168141
3451646,South Africa,Interest > Pop Culture > Celebrity Pregnancy,511665,187733
2038259,South Africa,Interest > Real Estate > Land and Farms,507931,220627
1281452,South Africa,Interest > Video Game Genres > Action Video Games,504129,172957
2841883,South Africa,Interest > Food & Drink,497028,167862
3033706,South Africa,Interest > Industries,481649,228778
1842267,South Africa,Interest > Pets,461252,196090
4781358,South Africa,Interest > Events and Attractions > Sporting Events,459929,98440
699713,South Africa,Interest > Video Game Genres > Role-Playing Video Games,456910,133817
2099971,South Africa,Interest > Home Utilities > Internet Service Providers,452535,217411
4456790,South Africa,Interest > Real Estate > Office Property,448355,218479
1261191,South Africa,Interest > Sports > Fantasy Sports,448048,118885
325271,South Africa,Interest > Business Banking & Finance > Sale & Lease Back,441004,172190
302068,South Africa,Interest > Events and Attractions > Bars & Restaurants,434954,88833
2850637,South Africa,Interest > Food & Drink > Healthy Cooking and Eating,431260,148223
2596608,South Africa,Interest > Real Estate > Apartments,427988,214213
3189482,South Africa,Interest > Economy > Interest Rates,427505,178261
3400853,South Africa,Interest > Religion & Spirituality,427218,159690
456970,South Africa,Interest > Video Game Genres > Music and Party Video Games,425814,148727
2942293,South Africa,Interest > Economy > Financial Regulation,424873,202573
4745655,South Africa,Interest > Auto Type > Concept Cars,416198,154449
136909,South Africa,Interest > Style & Fashion > High Fashion,415866,205912
3978634,South Africa,Interest > Style & Fashion > Street Style,415429,200762
3113532,South Africa,Interest > Games and Puzzles > Card Games,413922,143953
219332,South Africa,Interest > Video Game Genres > Sports Video Games,412949,113056
1604475,South Africa,Interest > Events and Attractions > Business Expos & Conferences,410956,117468
1822926,South Africa,Interest > Video Game Genres > Puzzle Video Games,405188,135061
588574,South Africa,Interest > Rock Music > Soft Rock,403636,133007
3921633,South Africa,Interest > Personal Celebrations & Life Events > Anniversary,402064,157946
